                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7836,                 2.9348,                 1.0884,                0.03036,                0.46443,                0.23248,                0.09243,                 1.8881,                 3.2502,                 1.0506,             0.00040012,             0.00040012,             0.00040012
                      2,                 1.6075,                  1.446,                 1.0304,                0.94611,                0.30455,                0.31021,                0.17334,                 1.4629,                  1.926,                0.97327,             0.00078765,             0.00078765,             0.00078765
                      3,                 1.5672,                 1.3529,                 1.0295,                0.95013,                0.26914,                0.32389,                 0.1748,                 1.5499,                 1.2769,                 1.0329,              0.0011478,              0.0011478,              0.0011478
                      4,                 1.5062,                 1.2869,                 1.0347,                0.96073,                0.28227,                0.34262,                0.20519,                 1.3417,                 1.3615,                 1.0013,              0.0012875,              0.0012875,              0.0012875
                      5,                 1.5825,                 1.4655,                 1.0558,                0.94352,                0.28227,                0.34458,                0.17858,                 1.4863,                 1.6489,                 1.0631,              0.0012404,              0.0012404,              0.0012404
                      6,                 1.4649,                 1.1793,                 1.0265,                0.64816,                0.33793,                0.35984,                0.21313,                 1.3131,                 1.3142,                 1.0029,              0.0011932,              0.0011932,              0.0011932
                      7,                   1.48,                 1.1315,                  1.016,                0.60216,                0.35831,                0.35758,                 0.2045,                 1.4051,                 1.0649,                 1.0248,              0.0011461,              0.0011461,              0.0011461
                      8,                  1.444,                 1.1325,                 1.0113,                0.95671,                0.30826,                0.41438,                0.23695,                  1.388,                 0.9945,                0.98996,              0.0010989,              0.0010989,              0.0010989
                      9,                 1.4039,                 1.0986,                 1.0086,                0.95894,                0.30919,                0.46262,                0.25063,                 1.3292,                 1.0039,                 0.9824,              0.0010517,              0.0010517,              0.0010517
                     10,                 1.4076,                 1.1076,                 1.0012,                0.95964,                0.31004,                0.47171,                0.25265,                 1.4108,                0.99354,                 1.0078,              0.0010046,              0.0010046,              0.0010046
                     11,                 1.3762,                 1.0429,                 0.9952,                  0.389,                0.38387,                0.49534,                0.27159,                 1.3422,                0.93924,                 0.9959,             0.00095743,             0.00095743,             0.00095743
                     12,                 1.3856,                 1.0053,                0.99329,                0.48368,                0.40657,                0.54353,                0.28139,                 1.3665,                0.94572,                0.99503,             0.00091027,             0.00091027,             0.00091027
                     13,                 1.3659,                 1.0112,                0.99703,                0.49164,                0.45518,                0.55073,                0.27871,                 1.3799,                 0.9407,                 1.0058,             0.00086312,             0.00086312,             0.00086312
                     14,                 1.3746,                0.97041,                0.99328,                0.47336,                0.46375,                0.55481,                0.28333,                 1.2778,                0.89621,                0.97579,             0.00081596,             0.00081596,             0.00081596
                     15,                 1.3623,                0.99692,                0.98754,                0.45599,                0.45688,                0.55185,                0.27701,                 1.3574,                0.91197,                0.98725,              0.0007688,              0.0007688,              0.0007688
                     16,                 1.3385,                0.94374,                0.96408,                0.47496,                0.47155,                 0.5503,                0.28128,                 1.2946,                0.85855,                 0.9722,             0.00072164,             0.00072164,             0.00072164
                     17,                 1.2945,                0.95563,                0.99103,                0.48424,                0.49677,                0.54823,                   0.29,                 1.2274,                0.86257,                0.96512,             0.00067449,             0.00067449,             0.00067449
                     18,                 1.2875,                0.91843,                0.96911,                0.81525,                0.50404,                0.55876,                0.28944,                 1.2831,                0.85686,                0.96881,             0.00062733,             0.00062733,             0.00062733
                     19,                  1.301,                 0.8741,                0.95319,                0.56149,                0.53459,                0.56915,                0.29362,                 1.3107,                0.82191,                0.97308,             0.00058017,             0.00058017,             0.00058017
                     20,                  1.287,                0.87491,                0.96914,                0.57169,                0.53463,                0.57103,                0.29825,                 1.2937,                0.81388,                0.97071,             0.00053302,             0.00053302,             0.00053302
                     21,                  1.301,                 1.0612,                0.98105,                0.55926,                0.52394,                0.54826,                0.28102,                 1.2929,                0.89202,                0.97329,             0.00048586,             0.00048586,             0.00048586
